Nederlands;Deutsch;Englisch;Type;Comment
vies;Schmutzig;dirty;A;
De jurk;Kleid;The dress;N;
Dat vieze jurkje;Jenes dreckiges Kleid;;R;
net;Ordentlich, sauber;Clean;A;Beschreibt Aussehen, Benehmen, Sprache und Handschrift als ordentlich, anständig und gepflegt.
net;Soeben, genauso;;B;Ik ben net binnen, hij is net zijn vader
De pak;Herrenanzug;Men suit;N;
De stropdas;Krawatte;tie;N;
Het Kantoor;Büro;Office;N;
Op kantoor draag ik een pak;Im Büro trage ich einen Anzug;In the office I wear a suit;R;Redewendung
slordig;Schludrig;;A;
Onverzorgd;Ungepflegt;;A;
De uiterlijk;Das Äussere;;N;De uiterlijk schijn
Het werk;Die Arbeit;Work;N;
schoon;Sauber;Clean;A;Schoon maken, een schoon t-shirt
goedkoop;Billig, günstig;;A;
onbeleefd;Unhöflich;;A;De medewerker is onbeleefd
beleefd;höflich;;A;Ik ben altijd beleefd
De kast;Der Schrank;;N;
aantrekken;anziehen;;V;Een t-shirt aantrekken
lelijk;hässlich;;A;Wat een lelijke kleuren
paars;Lila;;F;
Sturen;schicken;;V;
saai;Öde;;A;Een saai feest.
De rok;Der Rock;;N;
Goud;Gold;;F;
vervelen;langweilen;;V;Mijn saai werk begint me te vervelen
gouden;Golden;;A;
De trui;Der Pullover;;N;
De sjaal;Der Schal;;N;Ausprache wie in Deutsch
Fout;Falsch;;N;Het foute antwoord
Het Groene Boekje;Duden;;R;Offizielle Nachschlagewerk in NL
Gekleurd;Farbig;;A;Een gekleurd petje
De pet / het petje;Cappy / Mütze;;N;
rustig;Ruhig;;A;
Blauw;blau;;F;
Wit;weiss;;F;
Groen;grün;;F;
Straks;Gleich (zeitl.);;B;Ik kom straks
De winkel;Das Geschäft ;Shop;N;
De uitzondering;Die Ausnahme;Exception;N;
minachting, de;Verachtung, die;Contempt;N;
Dalen;Absteigen, sinken, fallen;Decrease;V;Daal daalt 
Toch?;Oder? ;;B;Alles wordt better straks. Toch?
want;Weil, aus dem grund;Because;B;Ik kom niet, want ik heb geen tijd
belangstelling, de;"Interesse, das; Nachfrage, die";Interest in something ;N;
Krap;Eng;Tight;A;
Elders;Woanders;Elsewhere;B;
mouw, de;Der Ärmel;;N;De mouw, een t-shirt zonder mouwen
zwart;Schwarz;;F;Zwart, zwarte jurk
Met die witte jas lijk je net een dokter;Mit der weißen Jacke ähnelst du einem Arzt.;;R;
lijken;gleichen;;V;Dit lijkt op een geval van mazelen
glansen;Glänzen;;A;Zijn rode schoenen glansen
Nonchalant;Lässig;;A;
Broek, de;Die Hose;;N;
Weggooien;Wegwerfen;;V;Die vieze jurk gooi ik weg
Kapsel, het;Die Frisur;;N;
moeilijk;Schwierig;;A;Een moeilijk woord
leuk;nett;;A;Een leuk cadeau
nouja;Naja;;B;
Dus;also;;B;Dus is de zwarte jurkje te kort
zoals;So wie;;B;Zoals gisteren
Spijkerbroek, de;Jeans;;N;
Werkgever, de;Arbeitgeber;;N;
Hé, wat is daar mis mee?;Hey, was ist daran falsch?;;R;
niks;nichts;;B;
Kiezen;wählen;;V;Koos, h. gekozen
Gul;Großzügig ;Generous;B;De gullere uitkeringen
Uitkering, de;"Auszahlung, die; finanzielle Unterstützung ";Payment;N;
Doelwit, het;Die Zielscheibe, Angriffsziel;Target;N;
Wet, de;Das Gesetz;Law;N;"De wet gaat gelden vanaf September; wet-wetten"
Kampen;Kämpfen;;V;
bedoeling, de;Die Absicht;The intention;N;
Toen;Damals, als;;B;"Hij heeft dat toen niet gedaan. (Damals)  Toen ik nog klein was. (Als)"
Een jaar geleden;Vor einem Jahr;;R;
Gisteren;gestern;;B;
Vroeger;Früher;;B;
Ik heb vroeger nooit gereist;Ich bin früher nie gereist;;R;Nutzung von “haben” weil es um die Handlung an sich geht
Ik ben van A naar B gereisd;Ich bin von A nach B gereist;;R;Nutzung von “sein” weil es um den Ortswechsel geht
Oefenen;Üben;;V;Heb je vorige week nog geoefend?
Er ;Dort / damit;;B;Mijn broer woont er ook (dort) / zij zijn er mee gestopt (damit)
al;Schon / bereits;;B;De kinderen hebben al gegeten
Uitje, het;Reise, Ausflug;;N;Zo’n uitje is betaalbar
Dringend;Dringend;;B;Ik moet dringend naar de kapper
Kapper, de;Frisör;;N;Naar de kapper gaan
Weinig trek hebben;Keine Lust haben;;R;
Kwetsbaarheid, de;Die Verletzbarkeit, Anfälligkeit;;N;
Achtergrond, de;Der Hintergrund;;N;
Hooiwagen, de;Der Weberknecht;;N;Die Spinne
spin, de;Die spinne;Spider;N;Een spin, de spinnen
Krap bij kas zitten;Knapp bei Kasse sein;Short time on money;R;
Schalen, de;Die Schüsseln, schalen;Bowls;N;
Afdrokenen;Abtrocknen;;V;
Potten, de;Die Einweg Gläser;;N;
Blikken, de;Die Dosen;Cans;N;
Afspreken;Sich verabreden;;V;
Makkelijk;Leicht;Easy;A;
Weer, het;Das Wetter;;N;
